,0
1208,ATCC
1209,ATCO
1210,ATCO-PI
1211,ATCX
1212,ATD-B.TO
1213,ATDS
1214,ATEA.OL
1215,ATEB.BR
1216,ATEC
1217,ATEME.PA
1218,ATEN
1219,ATE.PA
1220,ATE.TO
1221,ATEX
1222,ATFL.NS
1223,ATGE
1224,ATH.AX
1225,ATHE
1226,ATHM
1227,ATH.TO
1228,ATHX
1229,ATI
1230,ATIF
1231,ATI.PA
1232,ATKR
1233,ATLANTA.NS
1234,ATLASCYCLE.NS
1235,ATL.AX
1236,ATLC
1237,ATLO
1238,ATLS
1239,ATMA.L
1240,ATM.L
1241,ATNI
1242,ATNM
1243,ATNX
1244,ATO
1245,ATOM
1246,ATO.PA
1247,ATOS
1248,ATP.AX
1249,ATP.TO
1250,ATQT.L
1251,ATR
1252,ATRA
1253,ATR.AX
1254,ATRC
1255,ATRI
1256,ATRO
1257,ATRS
1258,ATRS.AS
1259,ATRX
1260,ATS.AX
1261,ATSG
1262,ATST.L
1263,ATTO
1264,AT.TO
1265,ATULAUTO.NS
1266,ATUL.NS
1267,ATUS
1268,ATV
1269,ATVI
1270,ATX.AX
1271,ATXG
1272,ATYM.L
1273,ATZ.TO
1274,AU
1275,AU1.AX
1276,AU2.DE
1277,AUB
1278,AUBANK.NS
1279,AUBAP
1280,AUB.AX
1281,AUBN
1282,AUB.PA
1283,AUC.AX
1284,AUDC
1285,AUD.DE
1286,AUG.L
1287,AUGR.PA
1288,AUH.AX
1289,AUI.AX
1290,AUK.L
1291,AUL.AX
1292,AUMN
1293,AUMN.TO
1294,AUPH
1295,AUP.TO
1296,AUQ.AX
1297,AURA.L
1298,AUR.AX
1299,AURE.PA
1300,AURG.OL
1301,AURIONPRO.NS
1302,AUROPHARMA.NS
1303,AURS.PA
1304,AUS.DE
1305,AUSOMENT.NS
1306,AUSS.OL
1307,AUT.AX
1308,AUTG.L
1309,AUTN.SW
1310,AUTO
1311,AUTOAXLES.NS
1312,AUTOIND.NS
1313,AUTO.L
1314,AUTOLITIND.NS
1315,AUUD
1316,AUVI
1317,AUY
1318,AUZ.AX
1319,AV1.AX
1320,AVA
1321,AVA.AX
1322,AVADHSUGAR.NS
1323,AVAL
1324,AVAN.ME
1325,AVANTIFEED.NS
1326,AVAP.L
1327,AVAV
1328,AVB
1329,AVC.AX
1330,AVCN.TO
1331,AVCO
