ROC___ABBOTINDIA.NS,0.5460086802799664,0.5899116872219837,0.6121309234444543,0.5616618948206744,,,,,,,,,,,,,,,,,,,
ROC___ABBV,18.971601208459216,0.7356068743286789,9.210505986867517,2.782125930941097,,,,,,,,,,,,,,,,,,,
ROC___ABBY.L,0.1746723267785415,0.28799929449763273,0.34652299864495834,0.40409650757503035,,,,,,,,,,,,,,,,,,,
ROC___ABC,3.6566176373065242,11.619448698315468,-39.83426427477048,-5.630394422816461,,,,,,,,,,,,,,,,,,,
ROC___ABCA.PA,,0.25589922287196093,0.2634051246559723,0.23682003477091068,0.38625285408651255,,,,,,,,,,,,,,,,,,
ROC___ABCAPITAL.NS,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
ROC___ABC.AX,0.20837083708370838,0.1685096668331312,0.3130242825607064,0.33302049116220866,,,,,,,,,,,,,,,,,,,
ROC___ABCB,-0.0,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,
ROC___ABCE,,0.7689471575731281,0.5181588806483676,0.9641093337196969,1.7800983821092036,,,,,,,,,,,,,,,,,,
ROC___ABCL,,-0.622590321544517,-0.09995647725840462,,,,,,,,,,,,,,,,,,,,
ROC___ABC.L,0.3134906657273688,1.02200488997555,1.0191176470588235,0.8865478119935171,,,,,,,,,,,,,,,,,,,
ROC___ABCM,0.3134906657273688,1.02200488997555,1.0191176470588235,0.8865478119935171,,,,,,,,,,,,,,,,,,,
ROC___ABCP,,,,-4.3808777429467085,-3.03068122724909,,,,,,,,,,,,,,,,,,
ROC___ABCZY,0.3134906657273688,1.02200488997555,1.0191176470588235,0.8865478119935171,,,,,,,,,,,,,,,,,,,
ROC___ABDP.L,0.15321450313592797,0.3612937400679276,0.4250397649152131,0.31788046143943693,,,,,,,,,,,,,,,,,,,
ROC___ABEA.DE,0.3845127832032161,0.38013170508064853,0.40547348779350023,0.4057877452493895,,,,,,,,,,,,,,,,,,,
ROC___ABEO,,-1.3419442437746425,-1.4925840390043623,-0.4082752146906328,-0.772273065355884,,,,,,,,,,,,,,,,,,
ROC___ABEO.PA,0.2288444234971507,0.35138209532476394,0.396407430087773,0.5987694050408053,,,,,,,,,,,,,,,,,,,
ROC___ABEV,1.0347880008282955,1.2972191384375134,1.5776771465438209,2.2040079117022144,,,,,,,,,,,,,,,,,,,
ROC___ABFRL.NS,0.4903119092627599,-10.937124549459352,2.2330730684069455,2.6914672565185334,,,,,,,,,,,,,,,,,,,
ROC___ABG,0.5581427295830758,0.5029679164475167,0.5543229441803135,0.5511548093868843,,,,,,,,,,,,,,,,,,,
ROC___ABI.BR,1.058292043136112,1.4946321513222103,3.058802276217144,2.3523739369182346,,,,,,,,,,,,,,,,,,,
ROC___ABILF,,3.791552111972007,-5.473627556512379,-26.52403846153846,-1.0013069267115713,,,,,,,,,,,,,,,,,,
ROC___ABIO,,-1.5328236224624308,-2.702396804260985,-3.643656898062506,-1.7382160606853256,,,,,,,,,,,,,,,,,,
ROC___ABIO.PA,1.3487603305785123,0.16137347405281843,0.17043122377499942,0.144157469564228,,,,,,,,,,,,,,,,,,,
ROC___ABL.AX,,,0.15393968225808183,,-1.0234570124879923,,,,,,,,,,,,,,,,,,
ROC___ABL.DE,0.595049292756108,0.7002032520325203,0.5822650383069105,0.31185649081838446,,,,,,,,,,,,,,,,,,,
ROC___ABM,0.7545777534845586,0.8396713166443722,0.7358272271500192,0.41365979381443296,,,,,,,,,,,,,,,,,,,
ROC___ABMC,,-4.614785992217898,-3.0118577075098814,-0.49014972419227737,-0.3178726035868893,,,,,,,,,,,,,,,,,,
ROC___ABMD,0.7305871135603355,0.6252324756633585,0.6016979398431153,0.5315747077811067,,,,,,,,,,,,,,,,,,,
ROC___ABMINTLTD.NS,-0.7724489043016306,-0.4338533834586466,0.019458603914996625,0.11143675180918457,,,,,,,,,,,,,,,,,,,
ROC___ABML,2.5056432644707574,,,,,,,,,,,,,,,,,,,,,,
ROC___ABMT,0.12079457789688901,0.18669826784717267,0.22566849830539604,0.1616059332612216,,,,,,,,,,,,,,,,,,,
ROC___ABN.AS,,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,
ROC___ABNB,-1.5521975486072823,-0.48283136746443117,0.015314163395195124,,,,,,,,,,,,,,,,,,,,
ROC___ABNX.PA,,-0.7479265402843602,-2.685754189944134,-0.902195337456671,,,,,,,,,,,,,,,,,,,
ROC___ABO.BR,,0.23623666509575425,0.12300082440230832,0.3237368182700395,0.13082525988261084,,,,,,,,,,,,,,,,,,
ROC___AB.PA,,10.687461773700306,-34.76636636636637,-1.8873089700996677,-3.777638819409705,,,,,,,,,,,,,,,,,,
ROC___ABP.AX,,,,2.969373311028182,1.9225272075088844,1.546077916622913,,0.7775483185008357,,,,,,,,,,,,,,,
ROC___ABQQ,-1.202863055075818,-0.2330449556256008,,,,,,,,,,,,,,,,,,,,,
ROC___ABR.AX,-0.13257593573105364,-0.2157476767263247,-0.2597551030015288,-0.23998403178134758,,,,,,,,,,,,,,,,,,,
ROC___ABR.DE,0.31959673987758175,0.19838056680161945,0.15869450317124736,0.3191781640088395,,,,,,,,,,,,,,,,,,,
ROC___ABRD.ME,,0.3223085408042816,0.29543978737448445,0.3220550311719933,0.28030732923373886,,,,,,,,,,,,,,,,,,
ROC___ABS2.DE,,-0.12156597206670057,-0.06259474473520156,0.014014030206462953,0.10703220328888778,,,,,,,,,,,,,,,,,,
ROC___ABST,-12.744702787584725,-1.012063788918486,-0.25021985922663537,-0.06193816309402248,,,,,,,,,,,,,,,,,,,
ROC___ABST.TO,-12.744702787584725,-1.012063788918486,-0.25021985922663537,-0.06193816309402248,,,,,,,,,,,,,,,,,,,
ROC___ABT,0.595049292756108,0.7002032520325203,0.5822650383069105,0.31185649081838446,,,,,,,,,,,,,,,,,,,
ROC___ABT.SW,0.595049292756108,0.7002032520325203,0.5822650383069105,0.31185649081838446,,,,,,,,,,,,,,,,,,,
ROC___ABTX,-0.0,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,
ROC___ABUS,,-1.4421951670191142,-1.0952823194287276,-1.1051196798033438,-1.05941484905836,,,,,,,,,,,,,,,,,,
ROC___ABV.AX,0.20803782505910165,-1.8892988929889298,-1.6937046004842615,-0.2422978920546676,,,,,,,,,,,,,,,,,,,
ROC___ABVX.PA,,-25.329022441993153,-3.0245330800886356,-1.8091158984849454,-1.4895650398202982,,,,,,,,,,,,,,,,,,
ROC___ABX.AX,,-0.31582411795681936,-0.26851420586865393,0.023168194342911768,-0.006351405970321612,,,,,,,,,,,,,,,,,,
ROC___ABX.TO,0.31959673987758175,0.19838056680161945,0.15869450317124736,0.3191781640088395,,,,,,,,,,,,,,,,,,,
ROC___AC8.AX,-0.40084472925582737,-0.31182417675459984,-1.184031980762644,-0.8985948919724305,,,,,,,,,,,,,,,,,,,
ROC___ACA,0.25571628558096127,0.23509578544061302,0.18732651280831153,0.3143948436380998,,,,,,,,,,,,,,,,,,,
ROC___ACAD,-0.6998606481432974,-0.7063031421172049,-1.053289347664148,-1.7878444188328662,,,,,,,,,,,,,,,,,,,
